poi_id,naics_code,latitude,longitude
poi_000058,812113,40.8107,-73.9352
poi_000059,722513,40.7417,-74.0182
poi_000060,812990,40.7542,-74.0064
poi_000061,522390,40.8491,-73.9438
poi_000062,446130,40.7171,-74.0037
poi_000063,519120,40.7867,-73.9833
poi_000064,522110,40.7694,-73.9751
poi_000065,448120,40.7504,-73.9794
poi_000066,448140,40.7633,-73.994
poi_000067,621310,40.7676,-73.9703
poi_000068,611620,40.7083,-73.9972
poi_000069,722410,40.7414,-73.9729
poi_000070,722511,40.7157,-74.0141
poi_000071,812112,40.7402,-73.9998
poi_000072,621399,40.7777,-73.9715
poi_000073,448140,40.7701,-73.9643
poi_000074,442110,40.7372,-74.0045
poi_000075,722511,40.7189,-73.9772
poi_000076,712190,40.8093,-73.9203
poi_000077,453920,40.7445,-74.001
poi_000078,621340,40.7144,-74.0296
poi_000079,446110,40.8087,-73.9568
poi_000080,519120,40.8366,-73.9525
poi_000081,611691,40.7453,-73.9824
poi_000082,713940,40.7561,-73.9816
poi_000083,811490,40.7171,-74.0
poi_000084,621111,40.7632,-73.9866
poi_000085,812112,40.7955,-73.9693
poi_000086,722513,40.7761,-73.9734
poi_000087,722410,40.7536,-73.9598
poi_000088,446120,40.8127,-73.9397
poi_000089,621111,40.7766,-73.9566
poi_000090,446110,40.8561,-73.9357
poi_000091,621330,40.7486,-73.9772
poi_000092,453310,40.7547,-74.006
poi_000093,611630,40.7461,-73.9761
poi_000094,812111,40.7564,-73.97
poi_000095,722515,40.7306,-74.0199
poi_000096,624410,40.7206,-74.0018
poi_000097,445110,40.7204,-73.9873
poi_000098,522310,40.6983,-74.0097
poi_000099,611110,40.6832,-73.903
poi_000100,621210,40.7481,-73.9642
poi_000101,442299,40.712,-73.9787
poi_000102,812112,40.768,-73.9446
poi_000103,621111,40.793,-73.9544
poi_000104,621111,40.7581,-73.9606
poi_000105,448140,40.7605,-73.9854
poi_000106,812910,40.7576,-73.9949
poi_000107,3231,40.7282,-73.9774
poi_000108,812112,40.7485,-73.9912
poi_000109,448310,40.7406,-73.9563
poi_000110,722410,40.8352,-73.9238
poi_000111,813110,40.8177,-73.9747
poi_000112,445120,40.7276,-73.9738
poi_000113,541921,40.8282,-73.9398
poi_000114,446110,40.7232,-73.9712
poi_000115,311811,40.7595,-73.9692
poi_000116,813110,40.7686,-73.951
poi_000117,621210,40.7739,-73.9611
poi_000118,5416,40.7315,-74.0028
poi_000119,812930,40.7717,-73.9501
poi_000120,447110,40.7736,-73.9666
poi_000121,541219,40.7357,-73.9759
poi_000122,446110,40.7951,-73.9426
poi_000123,315990,40.774,-73.9793
poi_000124,621111,40.7716,-73.9856
poi_000125,713940,40.7964,-73.9897
poi_000126,812113,40.7256,-74.0223
poi_000127,453920,40.7418,-74.0141
poi_000128,621410,40.7024,-73.9988
poi_000129,713940,40.822,-73.9399
poi_000130,448210,40.7531,-73.9468
poi_000131,713990,40.8129,-73.9227
poi_000132,621310,40.7944,-73.9865
poi_000133,722513,40.7466,-73.9744
poi_000134,713940,40.7569,-73.9833
poi_000135,722513,40.9157,-72.7323
poi_000136,722513,40.7321,-73.9962
poi_000137,451211,40.7711,-73.9975
poi_000138,446120,40.7446,-73.9832
poi_000139,713940,40.7679,-74.0092
poi_000140,611630,40.7448,-73.9817
poi_000141,445310,40.7481,-73.9543
poi_000142,451211,40.7243,-73.9976
poi_000143,621210,40.7452,-73.9799
poi_000144,812112,40.726,-74.0029
poi_000145,812320,40.7652,-73.9702
poi_000146,445110,40.7385,-73.982
poi_000147,813110,40.7346,-74.0038
poi_000148,722410,40.7538,-73.995
poi_000149,722513,40.7962,-73.9655
poi_000150,811490,40.7591,-73.9575
poi_000151,722410,40.7517,-74.0243
poi_000152,488410,40.8082,-73.9308
poi_000153,712190,40.6989,-74.0257
poi_000154,451130,40.7634,-73.9914
poi_000155,813110,40.7518,-73.982
poi_000156,621111,40.7735,-73.9887
poi_000157,621399,40.7591,-73.973
poi_000158,722511,40.7609,-73.9747
poi_000159,517312,40.74,-73.9686
poi_000160,524210,40.7602,-73.9934
poi_000161,488410,40.7472,-73.9811
poi_000162,451130,40.7566,-73.9808
poi_000163,722511,40.7054,-74.0062
poi_000164,713990,40.6828,-73.9421
poi_000165,722513,40.7447,-73.9714
poi_000166,611691,40.7173,-74.0008
poi_000167,453110,40.8331,-73.9544
poi_000168,448310,40.7481,-73.989
poi_000169,453920,40.7476,-74.0066
poi_000170,721110,40.7719,-73.9793
poi_000171,488410,40.7414,-74.0029
poi_000172,448310,40.7187,-73.9889
poi_000173,5418,40.7604,-73.9931
poi_000174,3231,40.7603,-73.9921
poi_000175,721110,40.7215,-73.999
poi_000176,621111,40.7199,-74.0027
poi_000177,621310,40.7567,-73.9941
poi_000178,541921,40.8045,-73.9421
poi_000179,722511,40.7078,-74.013
poi_000180,444130,40.7299,-73.9823
poi_000181,722511,40.7329,-73.9818
poi_000182,624410,40.8368,-73.9603
poi_000183,621111,40.7739,-73.9897
poi_000184,448310,40.749,-73.9827
poi_000185,712190,40.7689,-73.9718
poi_000186,3231,40.7246,-74.0105
poi_000187,3231,40.7343,-73.9954
poi_000188,621111,40.7826,-73.9789
poi_000189,524210,40.7489,-73.9896
poi_000190,221112,40.7655,-73.9623
poi_000191,524210,40.5918,-74.0146
poi_000192,446110,40.72,-74.0053
poi_000193,621210,40.7924,-73.9968
poi_000194,442210,40.7381,-73.9964
poi_000195,541213,40.7626,-73.9631
poi_000196,621111,40.7796,-73.9524
poi_000197,453310,40.7413,-73.9825
poi_000198,722515,40.7392,-73.9923
poi_000199,813110,40.8151,-73.9363
poi_000200,611310,40.7259,-73.9832
poi_000201,712190,40.7775,-73.7936
poi_000202,812111,40.7396,-74.0007
poi_000203,238150,40.7699,-73.9782
poi_000204,811490,40.7505,-73.9593
poi_000205,722511,40.7326,-73.9605
poi_000206,722513,40.7493,-73.9945
poi_000207,541921,40.7466,-73.9603
poi_000208,722511,40.7293,-74.0051
poi_000209,522110,40.7321,-73.9751
poi_000210,448120,40.779,-73.9633
poi_000211,722513,40.7401,-73.9909
poi_000212,812112,40.7416,-73.9781
poi_000213,722515,40.7449,-74.0151
poi_000214,5416,40.7063,-74.0134
poi_000215,5416,40.7617,-73.9839
poi_000216,722511,40.7434,-73.9582
poi_000217,488410,40.7617,-74.0032
poi_000218,522110,40.7644,-73.976
poi_000219,713940,40.8093,-73.955
poi_000220,722513,40.7477,-73.9833
poi_000221,721110,40.7822,-73.9938
poi_000222,237110,40.7468,-73.9795
poi_000223,624410,40.7257,-73.9826
poi_000224,522298,40.7522,-73.9958
poi_000225,621111,40.7845,-73.9688
poi_000226,722513,40.8002,-73.9598
poi_000227,621512,40.7615,-73.9724
poi_000228,713940,40.779,-73.9859
poi_000229,722515,40.7568,-73.989
poi_000230,722511,40.7686,-73.9836
poi_000231,812111,40.6862,-74.0096
poi_000232,722511,40.7349,-74.0052
poi_000233,722511,40.7436,-73.9899
poi_000234,713940,40.7147,-73.9917
poi_000235,812320,40.7838,-73.9364
poi_000236,492110,40.7392,-73.997
poi_000237,448310,40.737,-73.9766
poi_000238,722513,40.7676,-73.984
poi_000239,517312,40.8605,-73.9221
poi_000240,444130,40.7413,-73.9954
poi_000241,812990,40.7747,-73.9864
poi_000242,812320,40.7241,-74.0007
poi_000243,446120,40.7447,-73.9767
poi_000244,713940,40.7359,-74.0113
poi_000245,813110,40.7348,-74.0068
poi_000246,339950,40.7482,-73.9831
poi_000247,812199,40.6882,-74.0057
poi_000248,493110,40.7662,-74.0089
poi_000249,524210,40.7339,-73.9764
poi_000250,5416,40.7562,-73.9794
poi_000251,485113,40.8428,-73.9453
poi_000252,812112,40.7302,-74.0106
poi_000253,811211,40.7684,-73.996
poi_000254,812112,40.7699,-73.9568
poi_000255,482111,40.6562,-73.9343
poi_000256,621310,40.7608,-73.9711
poi_000257,621111,40.8311,-73.9535
poi_000258,441110,40.7817,-73.9727
poi_000259,453310,40.7716,-73.9773
poi_000260,722511,40.7086,-74.0235
poi_000261,453110,40.7401,-74.0033
poi_000262,812111,40.7301,-74.0178
poi_000263,812199,40.6603,-73.9865
poi_000264,524210,40.8036,-73.942
poi_000265,722513,40.7757,-73.9987
poi_000266,722511,40.8467,-73.9184
poi_000267,813110,40.7801,-73.9615
poi_000268,624410,40.7055,-73.9771
poi_000269,812111,40.7601,-73.9754
poi_000270,722511,40.8296,-73.9474
poi_000271,621111,40.7487,-73.9695
poi_000272,722513,40.7072,-74.0005
poi_000273,812320,40.8025,-73.9566
poi_000274,451120,40.7574,-73.9677
poi_000275,5416,40.7725,-73.9814
poi_000276,448120,40.7693,-73.976
poi_000277,722515,40.7484,-73.9876
poi_000278,722511,40.7313,-74.0057
poi_000279,611691,40.7009,-73.9557
poi_000280,713940,40.7647,-73.9973
poi_000281,813110,40.7513,-73.953
poi_000282,445110,40.7901,-73.9377
poi_000283,0,40.7372,-74.0068
poi_000284,722410,40.7321,-73.9866
poi_000285,722513,40.7612,-73.9783
poi_000286,624410,40.7965,-73.9569
poi_000287,448310,40.7396,-73.9619
poi_000288,446199,40.7708,-73.9693
poi_000289,448120,40.7506,-73.9774
poi_000290,812199,40.7412,-73.9889
poi_000291,441110,40.7834,-73.983
poi_000292,722410,40.7409,-73.9815
poi_000293,621340,40.7846,-73.9345
poi_000294,448150,40.7735,-73.9589
poi_000295,561311,40.8113,-73.9317
poi_000296,712190,40.6675,-73.8365
poi_000297,928120,40.7652,-73.9777
poi_000298,621111,40.7841,-73.9603
poi_000299,722513,40.7501,-73.9629
poi_000300,491110,40.8126,-73.9529
poi_000301,523120,40.7222,-74.0278
poi_000302,448310,40.7772,-73.9733
poi_000303,621111,40.7649,-73.9656
poi_000304,813110,40.7404,-73.9951
poi_000305,448310,40.7726,-73.9728
poi_000306,453220,40.7387,-74.0099
poi_000307,453310,40.733,-74.0051
poi_000308,713940,40.7536,-73.974
poi_000309,722511,40.712,-73.986
poi_000310,722515,40.7704,-73.9453
poi_000311,441110,40.7536,-74.0057
poi_000312,621330,40.7584,-73.9772
poi_000313,541219,40.7483,-73.9642
poi_000314,451211,40.764,-73.9714
poi_000315,813110,40.7225,-73.9856
poi_000316,524210,40.771,-73.9928
poi_000317,722513,40.7269,-74.0129
poi_000318,441120,40.7759,-74.0021
poi_000319,722513,40.8112,-73.9753
poi_000320,812320,40.7022,-74.0058
poi_000321,813110,40.8258,-73.957
poi_000322,812320,40.7343,-73.9599
poi_000323,813110,40.807,-73.9329
poi_000324,311811,40.7386,-74.0127
poi_000325,813110,40.7248,-73.9791
poi_000326,448140,40.7391,-73.9703
poi_000327,621111,40.764,-73.9663
poi_000328,448140,40.7125,-73.9923
poi_000329,451110,40.7569,-73.99
poi_000330,452319,40.7523,-73.9838
poi_000331,445310,40.7358,-73.9738
poi_000332,812199,40.7835,-73.9746
poi_000333,532282,40.8021,-73.9398
poi_000334,722515,40.7618,-73.9643
poi_000335,517312,40.7385,-73.9678
poi_000336,621330,40.7346,-73.9626
poi_000337,722513,40.8127,-73.9216
poi_000338,448110,40.7578,-73.9629
poi_000339,812210,40.5644,-74.153
poi_000340,522390,40.7162,-73.9809
poi_000341,3231,40.7471,-73.9674
poi_000342,713940,40.7289,-74.0096
poi_000343,522390,40.7358,-73.9925
poi_000344,611310,40.7611,-73.9585
poi_000345,453220,40.7356,-73.9949
poi_000346,621399,40.7488,-73.9889
poi_000347,451140,40.7421,-73.9978
poi_000348,482111,40.7393,-73.9882
poi_000349,722511,40.8332,-73.9494
poi_000350,812112,40.741,-74.001
poi_000351,621330,40.7563,-73.9628
poi_000352,5416,40.7646,-73.9892
poi_000353,561622,40.7495,-73.9854
poi_000354,531210,40.7941,-73.9607
poi_000355,451110,40.7645,-73.9961
poi_000356,722515,40.7282,-73.9931
poi_000357,722515,40.8477,-73.9393
poi_000358,722511,40.7996,-73.9272
poi_000359,453220,40.8039,-73.9528
poi_000360,713940,40.7928,-73.9753
poi_000361,812112,40.7934,-73.9533
poi_000362,448210,40.7303,-73.9893
poi_000363,722511,40.7573,-73.9423
poi_000364,811490,40.7401,-73.9871
poi_000365,722511,40.737,-73.9758
poi_000366,722515,40.7157,-74.0117
poi_000367,812199,40.7806,-73.9697
poi_000368,722511,40.8596,-73.9111
poi_000369,722515,40.691,-73.9879
poi_000370,541213,40.8565,-73.9333
poi_000371,448120,40.7396,-73.9806
poi_000372,621399,40.7006,-74.0054
poi_000373,811111,40.8071,-73.9272
poi_000374,722515,40.7605,-73.9609
poi_000375,611310,40.7799,-73.9905
poi_000376,812199,40.7615,-73.979
poi_000377,722511,40.7537,-74.001
poi_000378,722515,40.707,-73.99
poi_000379,621310,40.755,-73.9786
poi_000380,722515,40.7328,-73.9895
poi_000381,621330,40.7461,-73.9934
poi_000382,812112,40.8065,-73.9218
poi_000383,448210,40.7654,-73.9924
poi_000384,523930,40.7688,-73.9768
poi_000385,722513,40.7714,-73.9849
poi_000386,447110,40.769,-73.9808
poi_000387,722513,40.7164,-74.0109
poi_000388,624410,40.7852,-73.9437
poi_000389,491110,40.8308,-73.953
poi_000390,722511,40.6178,-74.1591
poi_000391,541120,40.8111,-73.9555
poi_000392,541219,40.773,-73.9759
poi_000393,722410,40.7146,-74.0226
poi_000394,813110,40.7528,-73.9654
poi_000395,611110,40.6555,-73.9554
poi_000396,813110,40.8126,-73.9796
poi_000397,713940,40.7176,-73.9955
poi_000398,453310,40.7745,-73.9476
poi_000399,722511,40.7994,-73.9602
poi_000400,812930,40.7666,-73.9797
poi_000401,722511,40.733,-73.9898
poi_000402,722513,40.7697,-73.9807
poi_000403,621111,40.763,-74.0051
poi_000404,722410,40.7616,-73.9759
poi_000405,722511,40.7789,-73.9849
poi_000406,448120,40.7366,-74.0084
poi_000407,451130,40.7412,-74.003
poi_000408,541213,40.7151,-73.9807
poi_000409,446110,40.6055,-73.9053
poi_000410,621111,40.7761,-73.9761
poi_000411,445120,40.7345,-73.9991
poi_000412,621210,40.7514,-73.9788
poi_000413,531210,40.7569,-73.9977
poi_000414,541213,40.8007,-73.927
poi_000415,522110,40.7419,-73.9735
poi_000416,611630,40.748,-73.9764
poi_000417,811412,40.7356,-73.9612
poi_000418,541213,40.7559,-73.9887
poi_000419,446110,40.7213,-73.9756
poi_000420,712190,40.7302,-73.9804
poi_000421,812210,40.7119,-74.012
poi_000422,722513,40.7272,-73.9743
poi_000423,448310,40.7645,-73.9835
poi_000424,722511,40.7403,-74.0038
poi_000425,611620,40.7592,-74.0016
poi_000426,621111,40.7847,-73.9797
poi_000427,722515,40.6882,-74.0217
poi_000428,621111,40.773,-73.9834
poi_000429,621330,40.7635,-74.008
poi_000430,453920,40.7149,-74.0059
poi_000431,813110,40.7099,-73.9924
poi_000432,622310,40.726,-73.995
poi_000433,531210,40.7418,-73.9644
poi_000434,448210,40.7352,-73.9802
poi_000435,623110,40.8091,-73.9683
poi_000436,813110,40.7689,-73.96
poi_000437,722515,40.7687,-73.9568
poi_000438,722515,40.7875,-73.9701
poi_000439,713940,40.7958,-73.9727
poi_000440,722511,40.7199,-73.9999
poi_000441,812112,40.8097,-73.9648
poi_000442,485113,40.7173,-74.0119
poi_000443,722515,40.6888,-74.0219
poi_000444,541921,40.7342,-73.9867
poi_000445,621111,40.7532,-73.9979
poi_000446,621330,40.721,-73.98
poi_000447,624410,40.7913,-73.9406
poi_000448,451211,40.7469,-73.9995
poi_000449,446120,40.7692,-73.937
poi_000450,621111,40.7965,-73.9661
poi_000451,443142,40.7407,-73.9655
poi_000452,522390,40.7488,-73.9964
poi_000453,611691,40.7458,-73.983
poi_000454,446191,40.7216,-73.9683
poi_000455,812111,40.7363,-73.9965
poi_000456,5416,40.7438,-73.969
poi_000457,448120,40.7169,-74.0046
poi_000458,446130,40.7677,-73.9998
poi_000459,713940,40.7865,-73.9514
poi_000460,7111,40.774,-73.9789
poi_000461,621399,40.7479,-73.9901
poi_000462,611110,40.7494,-73.9687
poi_000463,722410,40.7765,-74.0039
poi_000464,621399,40.7408,-73.9974
poi_000465,722410,40.736,-73.9682
poi_000466,812112,40.8318,-73.9537
poi_000467,813110,40.7266,-73.9913
poi_000468,812112,40.8185,-73.9251
poi_000469,713940,40.7655,-73.9937
poi_000470,722515,40.7148,-73.9886
poi_000471,522390,40.7455,-73.9688
poi_000472,562920,40.7631,-73.9829
poi_000473,922120,40.7357,-73.9849
poi_000474,621399,40.752,-73.9787
poi_000475,813110,40.7269,-73.9869
poi_000476,522310,40.7486,-73.9937
poi_000477,713990,40.6799,-73.8664
poi_000478,446110,40.7252,-73.9638
poi_000479,813110,40.8756,-73.9164
poi_000480,445120,40.8237,-73.9386
poi_000481,445110,40.8194,-73.9625
poi_000482,712190,40.7754,-73.9747
poi_000483,812112,40.7358,-73.9752
poi_000484,621111,40.7642,-73.9974
poi_000485,812199,40.7342,-73.9906
poi_000486,812112,40.8083,-73.9413
poi_000487,722513,40.6865,-73.9979
poi_000488,811211,40.8647,-73.9364
poi_000489,0,40.8312,-73.9196
poi_000490,722410,40.6738,-74.0069
poi_000491,722511,40.8368,-73.9269
poi_000492,722515,40.7575,-73.986
poi_000493,5416,40.7578,-74.0046
poi_000494,621330,40.7242,-74.0014
poi_000495,722513,40.7268,-73.9938
poi_000496,722513,40.7535,-73.9637
poi_000497,453920,40.7503,-74.0102
poi_000498,482111,40.6818,-73.9275
poi_000499,611630,40.6911,-74.0243
poi_000500,443142,40.7337,-73.9795
poi_000501,448310,40.7403,-73.9679
poi_000502,451120,40.769,-73.9889
poi_000503,621111,40.7299,-73.9563
poi_000504,722410,40.7479,-73.9863
poi_000505,621210,40.7722,-73.9704
poi_000506,812199,40.7525,-73.9662
poi_000507,813110,40.7536,-73.9884
poi_000508,722515,40.7553,-73.9799
poi_000509,611691,40.7276,-73.9863
poi_000510,611110,40.7754,-73.9944
poi_000511,812112,40.7726,-73.9432
poi_000512,623110,40.7439,-73.9982
poi_000513,621111,40.7585,-73.9823
poi_000514,532282,40.7026,-74.0077
poi_000515,517312,40.692,-73.9993
poi_000516,713940,40.7557,-74.0077
poi_000517,722511,40.7602,-73.9866
poi_000518,713940,40.7032,-74.0119
poi_000519,448120,40.7362,-74.0053
poi_000520,812113,40.7243,-74.0018
poi_000521,713940,40.7825,-73.9753
poi_000522,722410,40.77,-73.9954
poi_000523,811121,40.7484,-73.9791
poi_000524,621111,40.8614,-73.9317
poi_000525,722511,40.7352,-73.996
poi_000526,611110,40.797,-73.929
poi_000527,491110,40.7237,-74.0262
poi_000528,446191,40.7315,-73.9782
poi_000529,523930,40.7726,-73.9656
poi_000530,611630,40.7729,-73.9595
poi_000531,524210,40.7675,-73.9802
poi_000532,812199,40.7244,-74.0296
poi_000533,812199,40.7949,-73.9543
poi_000534,812112,40.7551,-73.9827
poi_000535,621310,40.7511,-73.9713
poi_000536,722511,40.703,-74.0084
poi_000537,812112,40.7171,-74.0013
poi_000538,453920,40.7551,-73.9653
poi_000539,812112,40.7159,-73.9951
poi_000540,722513,40.762,-73.9701
poi_000541,722511,40.7414,-73.9626
poi_000542,621111,40.7386,-73.9846
poi_000543,611110,40.7293,-74.009
poi_000544,713950,40.7707,-74.0054
poi_000545,621210,40.7782,-73.9403
poi_000546,621330,40.7561,-73.9789
poi_000547,722511,40.8271,-73.9488
poi_000548,722410,40.8731,-73.9207
poi_000549,238330,40.7091,-73.9713
poi_000550,451211,40.7496,-73.9943
poi_000551,445120,40.8327,-73.9289
poi_000552,621111,40.7775,-73.989
poi_000553,442299,40.7623,-73.9753
poi_000554,722513,40.7542,-73.9694
poi_000555,813110,40.7718,-73.961
poi_000556,813110,40.7712,-73.9348
poi_000557,812112,40.8749,-73.9245
poi_000558,522291,40.7534,-73.9549
poi_000559,448210,40.7501,-73.9722
poi_000560,448310,40.7473,-73.9901
poi_000561,722515,40.7915,-73.9457
poi_000562,812111,40.7332,-73.9634
poi_000563,5416,40.733,-73.9729
poi_000564,722511,40.7986,-73.9287
poi_000565,812113,40.7596,-73.9593
poi_000566,448310,40.7618,-73.9712
poi_000567,722515,40.881,-73.9364
poi_000568,722511,40.7768,-73.9825
poi_000569,621111,40.7686,-73.9646
poi_000570,611110,40.7718,-73.9654
poi_000571,444130,40.8514,-73.9364
poi_000572,624410,40.8204,-73.9605
poi_000573,621330,40.7422,-73.9901
poi_000574,722511,40.7189,-73.9773
poi_000575,624410,40.8002,-73.9665
poi_000576,621210,40.7481,-73.9822
poi_000577,611110,40.7529,-73.9793
poi_000578,451130,40.7372,-74.0185
poi_000579,813110,40.7739,-73.9404
poi_000580,812199,40.7262,-73.9777
poi_000581,621210,40.7608,-73.9715
poi_000582,448310,40.7616,-73.9655
poi_000583,311811,40.7998,-73.9643
poi_000584,811118,40.776,-73.9493
poi_000585,722515,40.561,-74.1986
poi_000586,6233,40.7157,-73.9925
poi_000587,713940,40.722,-74.0067
poi_000588,0,40.8008,-73.9692
poi_000589,812320,40.7497,-73.9991
poi_000590,611691,40.7348,-73.9744
poi_000591,621210,40.7162,-73.9897
poi_000592,621999,40.777,-73.9753
poi_000593,445120,40.7518,-73.7265
poi_000594,541219,40.7323,-73.9989
poi_000595,812199,40.7117,-74.0252
poi_000596,442210,40.7795,-73.9624
poi_000597,448310,40.7092,-73.9997
poi_000598,311811,40.6963,-74.0173
poi_000599,621340,40.7623,-73.9607
poi_000600,5416,40.7406,-74.0044
poi_000601,621399,40.7794,-73.966
poi_000602,722513,40.7288,-74.0065
poi_000603,445110,40.7493,-73.9853
poi_000604,722511,40.7552,-73.971
poi_000605,722511,40.7422,-73.9766
poi_000606,722410,40.7201,-73.9893
poi_000607,541921,40.706,-74.0018
poi_000608,532111,40.7452,-73.9888
poi_000609,453991,40.7623,-73.9788
poi_000610,722410,40.7762,-74.008
poi_000611,722515,40.775,-73.9396
poi_000612,721110,40.7403,-74.0064
poi_000613,812930,40.7614,-73.9595
poi_000614,722515,40.7742,-73.9606
poi_000615,611630,40.7309,-73.9737
poi_000616,722513,40.756,-73.9906
poi_000617,722320,40.7572,-73.9943
poi_000618,812112,40.7138,-74.006
poi_000619,722511,40.797,-73.9891
poi_000620,621330,40.7575,-73.9797
poi_000621,621310,40.752,-73.9823
poi_000622,713990,40.6889,-73.957
poi_000623,445292,40.7704,-73.986
poi_000624,621111,40.7579,-73.9722
poi_000625,812112,40.7657,-74.0025
poi_000626,446130,40.698,-74.0113
poi_000627,448310,40.7673,-73.9911
poi_000628,453210,40.7418,-74.0039
poi_000629,813110,40.6863,-73.9655
poi_000630,811490,40.7041,-73.9853
poi_000631,812990,40.7734,-73.9605
poi_000632,621111,40.7628,-73.9648
poi_000633,493110,40.7446,-73.977
poi_000634,448210,40.7634,-73.9666
poi_000635,5416,40.7118,-73.9962
poi_000636,722513,40.7227,-74.0235
poi_000637,453910,40.7413,-73.968
poi_000638,621511,40.7811,-73.9659
poi_000639,621210,40.7418,-73.9957
poi_000640,813110,40.8114,-73.9338
poi_000641,813110,40.7861,-73.963
poi_000642,722515,40.7533,-74.023
poi_000643,524210,40.7242,-73.9935
poi_000644,621111,40.7608,-73.9599
poi_000645,722513,40.7425,-74.0052
poi_000646,453210,40.7367,-74.0005
poi_000647,611620,40.7728,-73.9935
poi_000648,812210,40.8029,-73.9452
poi_000649,445120,40.8028,-73.932
poi_000650,812112,40.7242,-74.028
poi_000651,453998,40.8082,-73.9477
poi_000652,453110,40.7631,-73.957
poi_000653,453220,40.7446,-73.997
poi_000654,442110,40.7524,-73.9666
poi_000655,812199,40.7566,-73.9732
poi_000656,517312,40.7372,-73.9921
poi_000657,453310,40.7407,-73.9997
poi_000658,812199,40.7223,-73.9886
poi_000659,722410,40.7492,-73.9771
poi_000660,621111,40.7526,-73.9681
poi_000661,442110,40.7612,-73.9742
poi_000662,453310,40.7599,-73.9613
poi_000663,448320,40.7662,-73.9738
poi_000664,448140,40.7159,-74.002
poi_000665,813110,40.8472,-73.9414
poi_000666,522110,40.7487,-74.0136
poi_000667,722511,40.7432,-73.9855
poi_000668,813110,40.8697,-73.9385
poi_000669,812199,40.7438,-73.9865
poi_000670,812930,40.75,-73.9937
poi_000671,722515,40.7178,-73.9908
poi_000672,812199,40.7431,-73.9919
poi_000673,722511,40.7575,-73.9735
poi_000674,712190,40.7004,-74.0205
poi_000675,522310,40.7555,-73.9851
poi_000676,522390,40.8187,-73.9361
poi_000677,0,40.7503,-74.0055
poi_000678,813110,40.8247,-73.9463
poi_000679,522110,40.77,-73.9352
poi_000680,621111,40.7373,-74.0006
poi_000681,621111,40.7699,-73.9999
poi_000682,722511,40.7563,-73.977
poi_000683,0,40.7666,-73.9603
poi_000684,812930,40.758,-73.955
poi_000685,453310,40.7484,-73.9652
poi_000686,722511,40.7671,-73.9647
poi_000687,445310,40.7331,-73.9845
poi_000688,541940,40.7903,-73.9518
poi_000689,451211,40.74,-74.0011
poi_000690,621111,40.612,-74.0051
poi_000691,722513,40.7155,-73.9775
poi_000692,722513,40.7328,-73.9867
poi_000693,812191,40.7635,-73.9764
poi_000694,611110,40.8784,-73.9346
poi_000695,3231,40.7295,-73.9792
poi_000696,722513,40.7635,-73.9953
poi_000697,523930,40.7045,-73.9935
poi_000698,448120,40.7132,-74.0017
poi_000699,453110,40.7628,-74.0018
poi_000700,453920,40.7379,-73.9849
poi_000701,713990,40.7697,-73.9437
poi_000702,611691,40.7327,-73.9974
poi_000703,0,40.7222,-74.0
poi_000704,448140,40.7239,-74.0167
